Fecha,Emisiones,Renovaciones,Refa_Reno,Anulaciones,Otros_Endosos,A̱o
2016-01,181,168,395,77,104,2016
2016-02,149,196,503,91,99,2016
2016-03,158,255,503,122,105,2016
2016-04,192,207,473,170,169,2016
2016-05,185,217,451,103,115,2016
2016-06,179,251,493,115,133,2016
2016-07,217,447,616,137,162,2016
2016-08,313,438,627,75,155,2016
2016-09,257,379,596,108,141,2016
2016-10,197,310,583,113,73,2016
2016-11,159,230,508,126,95,2016
2016-12,184,220,456,121,94,2016
2017-01,218,270,651,135,76,2017
2017-02,114,213,500,79,48,2017
2017-03,138,188,491,134,102,2017
2017-04,126,260,565,104,83,2017
2017-05,194,235,573,172,125,2017
2017-06,162,322,568,102,58,2017
2017-07,178,376,586,108,107,2017
2017-08,254,409,628,173,109,2017
2017-09,211,313,658,165,81,2017
2017-10,194,299,646,170,151,2017
2017-11,200,255,669,114,98,2017
2017-12,211,228,642,151,110,2017
2018-01,260,290,829,156,73,2018
2018-02,180,185,532,58,51,2018
2018-03,210,147,509,172,112,2018
2018-04,211,312,786,132,97,2018
2018-05,291,227,426,196,73,2018
2018-06,206,251,400,72,60,2018
2018-07,243,331,426,63,64,2018
2018-08,314,300,396,105,99,2018
2018-09,354,283,360,52,116,2018
2018-10,486,259,297,73,65,2018
2018-11,365,254,401,74,62,2018
2018-12,113,70,80,36,13,2018
