,Nº,NJ,Denominación,ProducciónTotal,CantidaddeJuicios,(Créditos/Activos),(Dispon.+Invers.)/Deudasc/Aseg.,(Dispon.+Invers.+Inmuebles)/Deudasc/Aseg.,(Dispon.+Invers.+Inmueb.)/(Deudasc/Aseg.+Comp.Técn.),(Inversiones+Inmuebles)/Activos,Superávit/CapitalRequerido,(Dispon.+Invers.)/CompromisosExigibles,Fecha,Categoría,Mercado
0,1.0,C,ARGOS MUTUAL,0.021646076970363654,4121.0,21.8109026778772,212.7863238758724,213.6872334202883,213.1297633551698,77.84709803816003,313.48119445637184,22.52955593842674,2018-06,Transporte Público Pasajeros,9.96
1,2.0,C,GARANTÍA MUTUAL,0.012449308598749553,1064.0,6.1489020618089025,496.8462776465099,496.8462776465099,507.7067094728769,89.2789397662631,637.9531941428563,79.29868889162185,2018-06,Transporte Público Pasajeros,5.73
2,3.0,C,METROPOL MUTUOS,0.022592664151137348,3443.0,14.881119466840959,158.9540457438831,158.9540457438831,158.4172454199902,81.58931161096939,51.27589557135918,253.19616213957843,2018-06,Transporte Público Pasajeros,10.39
3,4.0,C,MUTUAL RIVADAVIA,0.06248160751861047,7369.0,15.156246340157528,453.40074468195064,478.37210018848754,444.77452160859264,83.27653577448538,651.6557817101103,154.85415789354263,2018-06,Transporte Público Pasajeros,28.74
4,5.0,C,PROTECCIÓN MUTUAL,0.09824438413323867,12951.0,15.794529427849147,147.47461691471665,151.95655286715717,161.7154467241475,72.9128588440151,77.1345797911639,10.282481992169618,2018-06,Transporte Público Pasajeros,45.19
5,1.0,C,ARGOS MUTUAL,0.02141174198993087,4162.0,24.93405475585399,195.98418040415348,196.96053279867274,196.4841267074626,74.68607500851896,255.42256872637944,35.38498472596517,2018-03,Transporte Público Pasajeros,9.95
6,2.0,C,GARANTÍA MUTUAL,0.011605077406952484,1089.0,6.455395393443776,455.156085062083,455.156085062083,471.6828881858992,87.624972192522,513.288570184256,87.46124809266281,2018-03,Transporte Público Pasajeros,5.39
7,3.0,C,METROPOL MUTUOS,0.021383549239448303,3377.0,19.808525136925155,143.1567712569115,143.1567712569115,142.72702257307134,73.05784668067885,24.488678022604326,27.225448325418647,2018-03,Transporte Público Pasajeros,9.93
8,4.0,C,MUTUAL RIVADAVIA,0.0622354038937658,7353.0,15.595561247207796,441.80825853002716,467.74012026047734,428.5781743085397,82.49413795971174,627.6432742160833,98.54332041394167,2018-03,Transporte Público Pasajeros,28.91
9,5.0,C,PROTECCIÓN MUTUAL,0.0986292198837733,12955.0,17.06847504452053,138.36661887711244,142.94657820403796,153.3644422703135,71.35108448831873,45.79262974905534,7.2507123044181485,2018-03,Transporte Público Pasajeros,45.82
10,1.0,C,ARGOS MUTUAL,0.0212504646416531,4202.0,23.3862994089705,206.98157525574993,208.04077843521353,207.56565096537568,76.2551810626778,272.261579688678,24.3914518753997,2017-12,Transporte Público Pasajeros,10.08
11,2.0,C,GARANTÍA MUTUAL,0.011009312167757,1148.0,7.35562452753009,475.88006523011234,475.88006523011234,494.6404385827036,86.9917670709102,482.198574055945,73.391896347852,2017-12,Transporte Público Pasajeros,5.22
12,3.0,C,METROPOL MUTUOS,0.0202886131119527,3321.0,21.9616075203145,125.11611508707699,125.11611508707699,124.79450247802697,77.1591160283088,-13.3485989956688,0.0,2017-12,Transporte Público Pasajeros,9.63
13,4.0,C,MUTUAL RIVADAVIA,0.0621461116861901,7380.0,16.4534006282113,425.0530397823127,452.65359200810485,412.55835924360713,81.9504814049881,587.960029098687,133.865930380028,2017-12,Transporte Público Pasajeros,29.49
14,5.0,C,PROTECCIÓN MUTUAL,0.0960207780882635,13127.0,17.0454264477386,140.82593858053914,145.88943489385952,158.12096194048382,67.9475413649404,46.2349751491762,10.7120536953723,2017-12,Transporte Público Pasajeros,45.57
15,1.0,C,ARGOS MUTUAL,0.0207486598086425,4178.0,22.7103808150842,209.203240470726,210.335455396028,209.849776593248,76.9335589210834,275.597312883006,28.3029497335197,2017-09,Transporte Público Pasajeros,10.23
16,2.0,C,GARANTÍA MUTUAL,0.00977708189206213,1152.0,6.35894010562526,494.810623908181,494.810623908181,521.570406683966,86.9203252134441,471.246525256009,48.6797430004837,2017-09,Transporte Público Pasajeros,4.82
17,3.0,C,METROPOL MUTUOS,0.0182751325155345,3543.0,21.4542576452625,106.565971770936,106.565971770936,106.34700276055,77.1537542212891,-75.7311319067124,0.0,2017-09,Transporte Público Pasajeros,9.01
18,4.0,C,MUTUAL RIVADAVIA,0.0608861320693604,7373.0,14.4502006814628,427.628035564159,456.244877513686,416.536948836274,84.4714508101417,587.654841685012,93.6670698441661,2017-09,Transporte Público Pasajeros,30.01
19,5.0,C,PROTECCIÓN MUTUAL,0.0931695571808683,13372.0,17.8171491788917,132.595655217637,137.551108230959,150.21165971237,68.1715308043592,32.8859363180272,6.48726290133565,2017-09,Transporte Público Pasajeros,45.93
20,1.0,C,ARGOS MUTUAL,0.0196070281731086,3877.0,24.4078398991578,213.804079831211,215.012418389705,214.694972952295,75.1653508620596,144.842542156751,27.0006829158179,2017-06,Transporte Público Pasajeros,11.08
21,2.0,C,GARANTÍA MUTUAL,0.00800029785121756,1150.0,6.14187218551123,515.270583934184,517.501843296032,526.951301955105,91.2885868292069,450.40401169122,74.0877754102058,2017-06,Transporte Público Pasajeros,4.52
22,3.0,C,METROPOL MUTUOS,0.0259291866050889,3639.0,24.024184621673,105.69420244478,105.69420244478,102.396712775778,74.7867093701203,1.80433545728961,192.807192717982,2017-06,Transporte Público Pasajeros,14.65
23,4.0,C,MUTUAL RIVADAVIA,0.0397841319200323,7384.0,12.7528720258667,439.794097316717,470.12398308194,439.542576653457,86.3350322275396,596.023441352736,97.4051347648102,2017-06,Transporte Público Pasajeros,22.48
24,5.0,C,PROTECCIÓN MUTUAL,0.0836458775165091,13407.0,18.8688225587409,138.418197158426,143.812615169498,157.782113327741,67.2328855100482,51.8075274194985,7.77735223306929,2017-06,Transporte Público Pasajeros,47.27
25,1.0,C,ARGOS MUTUAL,0.0190366853185109,3554.0,26.315537635613,217.779517369189,219.05354001211,218.753269416965,73.2881295844478,161.555987465525,33.3544466081393,2017-03,Transporte Público Pasajeros,11.35
26,2.0,C,GARANTÍA MUTUAL,0.00794686491646721,1110.0,6.25372187267851,494.936127323393,497.260142531038,496.293241780357,92.7491925161075,400.282310956028,95.1423779304362,2017-03,Transporte Público Pasajeros,4.74
27,3.0,C,METROPOL MUTUOS,0.0267921950361754,3650.0,24.7714448599535,114.681232936597,114.681232936597,110.590822592881,73.5785749996916,1.01188120393871,0.0,2017-03,Transporte Público Pasajeros,15.97
28,4.0,C,MUTUAL RIVADAVIA,0.0358882001863063,7371.0,11.0457428807996,450.153913261804,481.714823019913,453.739134590032,87.9159528593945,585.28397518684,100.751276253903,2017-03,Transporte Público Pasajeros,21.4
29,5.0,C,PROTECCIÓN MUTUAL,0.0780542355545904,13387.0,25.0515436849533,130.437278476792,135.188835509088,151.654529457839,60.060180600263,48.5555086106664,10.5320922253408,2017-03,Transporte Público Pasajeros,46.54
30,1.0,C,ARGOS MUTUAL,0.0190038917103433,3840.0,19.7464113966598,234.767713529616,236.129310362434,235.811458866041,79.8309895311332,204.205115187174,32.6271899897722,2016-12,Transporte Público Pasajeros,11.98
31,2.0,C,GARANTÍA MUTUAL,0.00829066439720057,1145.0,6.37660752635959,490.332733382825,492.69684889906,491.5863879106,92.1317758335849,376.757692195988,75.9536240198891,2016-12,Transporte Público Pasajeros,5.23
32,3.0,C,METROPOL MUTUOS,0.0250153841660373,3765.0,28.368512891836,107.81376081103,107.81376081103,107.634652863705,70.4885329513418,-33.1470311938114,363.516291755524,2016-12,Transporte Público Pasajeros,15.77
33,4.0,C,MUTUAL RIVADAVIA,0.0367481803082166,7352.0,11.5438010042593,460.056139705134,490.863162166803,457.891634194546,87.5623129169196,598.361684456346,96.0240049178676,2016-12,Transporte Público Pasajeros,23.17
34,5.0,C,PROTECCIÓN MUTUAL,0.069576327727493,13385.0,22.7558543095156,132.676494070497,137.875488583773,156.705083674659,62.5485585464733,4.54490663769457,13.2139526869034,2016-12,Transporte Público Pasajeros,43.86
35,128.0,C,ARGOS MUTUAL ,0.0179580175017374,3571.0,17.3382195628609,249.433502969259,250.917206502264,250.550945598774,81.5490543481155,673.857690247203,43.6338992423809,2016-09,Transporte Público Pasajeros,11.47
36,129.0,C,GARANTÍA MUTUAL ,0.00794877492017777,1161.0,5.17516935863046,495.220562215799,497.680076661635,495.961528750719,93.6709518240777,415.680287125484,73.5497589748212,2016-09,Transporte Público Pasajeros,5.08
37,130.0,C,METROPOL MUTUOS,0.0261898034839675,3677.0,32.056699443179,105.283610232147,105.283610232147,108.050520664246,65.7744846600129,3.57812829956698,0.0,2016-09,Transporte Público Pasajeros,16.72
38,131.0,C,MUTUAL RIVADAVIA ,0.0402614680765239,7296.0,10.481415754122,490.379924580565,516.52630831902,471.303471396398,88.4037645099187,629.504399253141,121.004346559346,2016-09,Transporte Público Pasajeros,25.71
39,132.0,C,PROTECCIÓN MUTUAL ,0.0642394836254581,13507.0,24.0224382332193,142.059967348927,147.690166462789,168.399617775901,60.1909868694905,32.6712691613425,17.4434303447808,2016-09,Transporte Público Pasajeros,41.02
40,1.0,C,ARGOS MUTUAL ,0.0213992565632799,3564.0,13.8504077835856,277.343294604532,278.97105786832,278.715365051105,83.6915513845414,748.632448179216,26.8290412371775,2016-06,Transporte Público Pasajeros,13.08
41,2.0,C,GARANTÍA MUTUAL ,0.00778405212650307,1158.0,6.66206726948431,498.05455799887,500.674403053196,499.21605311631,92.250540732197,0.0,89.8150105016951,2016-06,Transporte Público Pasajeros,4.76
42,3.0,C,METROPOL MUTUOS,0.0293345824365803,3864.0,31.1163196107383,110.17858353361,110.17858353361,113.018918298989,66.7622355538808,7.58722013822012,0.0,2016-06,Transporte Público Pasajeros,17.94
43,4.0,C,MUTUAL RIVADAVIA ,0.044393498221982,7161.0,10.1807445663046,475.702592083895,494.882547803265,459.107172848662,88.7563049119323,0.0,136.339596487268,2016-06,Transporte Público Pasajeros,27.14
44,5.0,C,PROTECCIÓN MUTUAL ,0.0606467501136212,13470.0,28.1965404053924,136.848287143813,143.072594888128,167.2292910702,55.6665229986146,28.6147422065114,54.9663966905546,2016-06,Transporte Público Pasajeros,37.08
45,1.0,C,ARGOS MUTUAL ,0.0223025316719093,3535.0,14.6683472584759,299.113581513107,300.949045457955,300.736170596843,81.459721957695,856.152882916806,70.9739093970162,2016-03,Transporte Público Pasajeros,13.31
46,2.0,C,GARANTÍA MUTUAL ,0.00766439146822384,1166.0,7.10597241773753,484.596575929115,486.076178555303,484.819439093752,91.8420033016397,0.0,91.6776214583929,2016-03,Transporte Público Pasajeros,4.57
47,3.0,C,METROPOL MUTUOS,0.0303172184316401,3873.0,36.8673830068696,100.418317820561,100.418317820561,100.753891430735,61.009157778844,164.897936539676,230.316483758007,2016-03,Transporte Público Pasajeros,18.09
48,4.0,C,MUTUAL RIVADAVIA ,0.0468639611252712,6996.0,11.9866365093065,450.321742599291,462.887526032456,421.821917477609,86.7093644501835,944.381096009397,267.053804192809,2016-03,Transporte Público Pasajeros,27.97
49,5.0,C,PROTECCIÓN MUTUAL ,0.0604013239963406,13548.0,32.1130721062791,133.835729184951,141.232649140974,156.411507850902,55.072535034334,32.5691416048072,21.4567598542377,2016-03,Transporte Público Pasajeros,36.05
50,1.0,C,ARGOS MUTUAL ,0.0229784044223055,3490.0,6.15700362245768,291.182244955531,293.231676006321,293.001051100081,92.2559250749618,732.873389807784,44.2290855679316,2015-12,Transporte Público Pasajeros,13.05
51,2.0,C,GARANTÍA MUTUAL ,0.00754717695921894,1175.0,11.5543368094418,451.85423309681,453.455654872144,452.502877767842,87.4668965930156,0.0,81.1436188583761,2015-12,Transporte Público Pasajeros,4.28
52,3.0,C,METROPOL MUTUOS,0.0307461882352976,4078.0,36.6722576558848,98.8402531612318,98.8402531612318,99.1872120594569,62.157067006178,138.30548324625,316.422540233806,2015-12,Transporte Público Pasajeros,17.46
53,4.0,C,MUTUAL RIVADAVIA ,0.0530444323135107,6958.0,15.2225766089287,412.634499730536,419.15087282495,371.960276244518,82.8219201397888,886.487291549873,100.913074982917,2015-12,Transporte Público Pasajeros,30.11
54,5.0,C,PROTECCIÓN MUTUAL ,0.0618280736613256,13726.0,45.5033028771438,101.29877796985,108.979536845896,125.660722775009,41.3624664024076,98.1460096581399,12.28612012951,2015-12,Transporte Público Pasajeros,35.1
55,1.0,C,ARGOS MUTUAL ,0.0220096914159459,3398.0,6.1715437660764,157.856822227801,159.112824004109,159.063089006132,93.1559719706619,359.293355319314,40.266377922234,2015-09,Transporte Público Pasajeros,12.77
56,2.0,C,GARANTÍA MUTUAL ,0.00720588071279231,1175.0,12.2491234285655,407.307945376524,409.058091104611,408.295733758333,86.5873086312763,0.0,171.888391841223,2015-09,Transporte Público Pasajeros,4.18
57,3.0,C,METROPOL MUTUOS,0.0294298178671952,4070.0,30.1968039484226,108.54912039898,108.54912039898,108.998572396505,68.6485573049722,129.138436764911,0.0,2015-09,Transporte Público Pasajeros,17.08
58,4.0,C,MUTUAL RIVADAVIA ,0.0531966837974966,6747.0,15.2393038910701,368.727128542508,375.676350303765,338.315355762658,82.5798814047326,754.594341993288,108.475179099516,2015-09,Transporte Público Pasajeros,30.87
59,5.0,C,PROTECCIÓN MUTUAL ,0.0604605027668051,13767.0,52.9464217761144,96.7982346787653,98.649500814979,100.349111313076,41.276062568281,67.661976542756,12.0724877013771,2015-09,Transporte Público Pasajeros,35.09
60,1.0,C,ARGOS MUTUAL ,0.0202123912453605,3372.0,7.65379292647715,283.008616046646,285.550104184179,285.332974539707,89.3224374963896,764.365523503388,35.0902263945576,2015-06,Transporte Público Pasajeros,11.31
61,2.0,C,GARANTÍA MUTUAL ,0.00606996945218162,1152.0,12.4449436462828,428.011229750638,429.967470868664,429.445072946479,86.1497631753874,998.003529651862,111.015294784545,2015-06,Transporte Público Pasajeros,3.4
62,3.0,C,METROPOL MUTUOS,0.0248582136651249,3942.0,32.42316688213,103.326450641895,103.326450641895,103.827841783593,66.5412079972134,104.544907951665,0.0,2015-06,Transporte Público Pasajeros,13.91
