,Nº,NJ,Denominación,ProducciónTotal,CantidaddeJuicios,(Créditos/Activos),(Dispon.+Invers.)/Deudasc/Aseg.,(Dispon.+Invers.+Inmuebles)/Deudasc/Aseg.,(Dispon.+Invers.+Inmueb.)/(Deudasc/Aseg.+Comp.Técn.),(Inversiones+Inmuebles)/Activos,Superávit/CapitalRequerido,(Dispon.+Invers.)/CompromisosExigibles,Fecha,Categoría,Mercado
63,4.0,C,MUTUAL RIVADAVIA ,0.0554656191959853,6690.0,17.2436182647746,338.835199113733,346.261584992869,320.013437517882,81.1601715160813,689.915372669412,93.0729321301047,2015-06,Transporte Público Pasajeros,31.04
64,5.0,C,PROTECCIÓN MUTUAL ,0.0720964234394605,13748.0,53.0877609151431,102.572113989103,104.539091918051,106.139237164385,39.5477504251953,135.69408186684,17.7591961786346,2015-06,Transporte Público Pasajeros,40.34
65,1.0,C,ARGOS MUTUAL ,0.0194669642121516,3893.0,7.77942918075692,322.219186760012,325.140754976426,324.864384493676,90.1932143598123,614.080622910589,76.6232881769259,2015-03,Transporte Público Pasajeros,10.59
66,2.0,C,GARANTÍA MUTUAL ,0.00560417888140948,1125.0,12.6512849603716,452.397300640584,454.600070365661,454.452513075136,85.8708227406581,824.236638828469,93.0867907475923,2015-03,Transporte Público Pasajeros,3.05
67,3.0,C,METROPOL MUTUOS,0.023407917534614,3960.0,34.1335216037354,102.330844378678,102.330844378678,102.868896994891,64.5339727054601,128.093333462255,205.415824055365,2015-03,Transporte Público Pasajeros,12.74
68,4.0,C,MUTUAL RIVADAVIA ,0.0585815969574468,6588.0,18.7089335649517,329.568696573537,337.365561801326,305.597851462791,77.7211209005379,670.896002202684,137.976185766823,2015-03,Transporte Público Pasajeros,31.88
69,5.0,C,PROTECCIÓN MUTUAL ,0.076710926463803,13622.0,54.0973725155777,106.549593913182,108.55629424846,109.613998854252,37.940203644659,34.9493592033688,10.9139184437662,2015-03,Transporte Público Pasajeros,41.74
70,1.0,C,ARGOS MUTUAL ,0.0184758311836458,3806.0,3.31251702433766,316.107588582242,319.057210179825,318.804207329091,96.0502605661528,500.41435471900195,48.5580580987092,2014-12,Transporte Público Pasajeros,9.75
71,2.0,C,GARANTÍA MUTUAL ,0.00566880893863806,1126.0,12.2056534529035,457.070248983635,459.436189407556,459.760754618809,86.0880256681548,810.2542271444005,63.4117602462687,2014-12,Transporte Público Pasajeros,2.99
72,3.0,C,METROPOL MUTUOS,0.0217465339357278,4050.0,36.969956777203,97.234035328244,97.234035328244,97.8180667807501,60.8526499671735,109.43989488894931,0.0,2014-12,Transporte Público Pasajeros,11.47
73,4.0,C,MUTUAL RIVADAVIA ,0.0676023965154495,6573.0,23.8347397506129,302.874151536902,311.028958699147,271.138171760588,72.3857834150603,588.6806706394443,124.361553733008,2014-12,Transporte Público Pasajeros,35.66
74,5.0,C,PROTECCIÓN MUTUAL ,0.0760604034473544,13442.0,58.6693746360161,102.45909049737,104.543694242906,106.232047202747,32.1202461646364,176.5484058720229,11.8925960629016,2014-12,Transporte Público Pasajeros,40.13
75,126.0,C,ARGOS MUTUAL ,0.0185815909201821,3203.0,3.00419889553947,305.393228093394,308.316536594013,308.117080719523,96.0181250298851,562.76602370049,51.297691096343,2014-09,Transporte Público Pasajeros,10.63
76,127.0,C,GARANTÍA MUTUAL ,0.00538056341575926,1116.0,11.2309943427645,483.540132787161,486.091260855678,486.434192608917,87.5630430795865,797.650203786864,132.037620218382,2014-09,Transporte Público Pasajeros,3.08
77,128.0,C,METROPOL MUTUOS,0.017345072669991,4080.0,36.6289843412079,105.917910861123,105.917910861123,106.58130089954,62.5607442879184,184.260937139059,0.0,2014-09,Transporte Público Pasajeros,9.93
78,129.0,C,MUTUAL RIVADAVIA ,0.0625320048565756,6486.0,19.8158022770462,303.906222796769,312.635186897053,282.22763311657,77.5883361182289,588.249898755244,111.551545815827,2014-09,Transporte Público Pasajeros,35.78
79,130.0,C,PROTECCIÓN MUTUAL ,0.0709178362264572,13252.0,46.8374651429068,114.287075805211,116.543625680435,118.420736854869,42.7616458784642,174.736722810943,20.5431999416357,2014-09,Transporte Público Pasajeros,40.58
80,1.0,C,ARGOS MUTUAL ,0.0183163133294009,3170.0,3.49292134078925,288.722166978015,291.817006428458,291.617081611334,95.8513530169778,516.047351378577,50.8362465561924,2014-06,Transporte Público Pasajeros,9.29
81,2.0,C,GARANTÍA MUTUAL ,0.00548411552949347,1105.0,11.0001595149669,478.149081295414,480.904262528024,481.519793210559,87.3179570318114,756.837532171739,169.528787927812,2014-06,Transporte Público Pasajeros,2.78
82,3.0,C,METROPOL MUTUOS,0.012023514198247,3987.0,39.6935791871409,103.892572512298,103.892572512298,104.641995684224,59.368652913325,181.939235437574,0.0,2014-06,Transporte Público Pasajeros,6.1
83,4.0,C,MUTUAL RIVADAVIA ,0.0566236692665533,6810.0,20.1268630100585,274.553583600745,283.824257145461,262.060497369492,75.9079806119003,506.01633630816,100.895438940946,2014-06,Transporte Público Pasajeros,28.71
84,5.0,C,PROTECCIÓN MUTUAL ,0.104767120338059,13211.0,46.5358501400317,118.093970530531,120.456982421736,121.044544928235,44.4916695946191,161.228604260102,21.550384002418,2014-06,Transporte Público Pasajeros,53.12
85,125.0,C,ARGOS MUTUAL ,0.0170226558474605,3096.0,3.3126941921461,289.193269270627,292.484706036648,292.40397303443,95.0890036644836,490.093754819053,84.5349967294794,2014-03,Transporte Público Pasajeros,8.81
86,126.0,C,GARANTÍA MUTUAL ,0.00548863299512959,1116.0,10.7228982489808,474.548958278779,477.444653124667,478.358157752022,87.6901070605031,722.271345892013,320.944127084696,2014-03,Transporte Público Pasajeros,2.84
87,127.0,C,METROPOL MUTUOS,0.010602419698232,4050.0,40.9571091255157,107.782743599428,107.782743599428,108.606342594267,57.0938334485354,184.37711625143,993.648207495475,2014-03,Transporte Público Pasajeros,5.49
88,128.0,C,MUTUAL RIVADAVIA ,0.0566112078095463,6836.0,20.8185815294825,256.932280167528,266.668287734088,244.499706952386,76.3154913098951,461.899277446276,87.0374289258811,2014-03,Transporte Público Pasajeros,29.3
89,129.0,C,PROTECCIÓN MUTUAL ,0.103477196730196,13100.0,42.9829738159163,125.822134095792,128.351669795708,129.405909536222,47.8562489070115,192.28986400594,28.5887940905121,2014-03,Transporte Público Pasajeros,53.56
90,1.0,C,ARGOS MUTUAL ,0.0161113783008137,3058.0,3.61151950962556,270.091312074533,273.555239005925,273.424200300883,95.6858215893816,397.272739730555,48.6162083045546,2013-12,Transporte Público Pasajeros,8.19
91,2.0,C,GARANTÍA MUTUAL ,0.00569751288643375,1133.0,11.9680576052527,421.176131685897,424.141162090026,425.806747471222,86.7043168263237,608.386856559355,116.273637892104,2013-12,Transporte Público Pasajeros,2.9
92,3.0,C,METROPOL MUTUOS,0.0100078533303618,4004.0,42.6038714974569,107.398424816929,107.398424816929,108.309047723319,55.8059816350789,266.214042280132,0.0,2013-12,Transporte Público Pasajeros,5.09
93,4.0,C,MUTUAL RIVADAVIA ,0.0613951155272377,6889.0,25.9734921244986,217.305102434981,227.395120421345,203.791251379803,70.9082726290231,361.499337843409,72.320996411746,2013-12,Transporte Público Pasajeros,31.2
94,5.0,C,PROTECCIÓN MUTUAL ,0.103579056839295,13068.0,47.5059952732835,114.435027887532,117.11594558886,118.919769312157,44.0046853232122,179.385728683914,25.472156065298,2013-12,Transporte Público Pasajeros,52.63
95,1.0,C,ARGOS MUTUAL ,0.0142251122854994,2985.0,3.04489884776838,271.835529751417,275.51420946635,275.401771029705,96.1003258944889,352.700888564578,49.93906219,2013-09,Transporte Público Pasajeros,7.58
96,2.0,C,GARANTÍA MUTUAL ,0.00594019618915615,1028.0,13.3895780738858,395.719298793595,398.738870738855,400.470757543657,84.9322317088802,573.570854645265,108.445118,2013-09,Transporte Público Pasajeros,3.17
97,3.0,C,METROPOL MUTUOS,0.0101364042787788,3865.0,40.0540533388071,111.156439387149,111.156439387149,112.066409374717,58.0326693745167,277.220929626078,0.0,2013-09,Transporte Público Pasajeros,5.4
98,4.0,C,MUTUAL RIVADAVIA ,0.0576943903979859,6912.0,25.3557158068707,218.769414587761,218.769414587761,200.874529033375,71.4672166667861,331.761124954373,68.76751363,2013-09,Transporte Público Pasajeros,30.74
99,5.0,C,PROTECCIÓN MUTUAL ,0.0996820695613726,13021.0,48.1655223939566,111.427150159692,114.250351202594,116.540999183991,41.7815696725258,170.398173232521,25.15786225,2013-09,Transporte Público Pasajeros,53.11
100,1.0,C,ARGOS MUTUAL ,0.0138195885847886,2929.0,3.20723708387414,271.868707573481,275.722379436846,275.601475058902,96.275337683851,312.711157593054,94.7371882586365,2013-06,Transporte Público Pasajeros,6.15
101,2.0,C,GARANTÍA MUTUAL ,0.0065953355171149,1023.0,12.7248137692745,390.909773983262,394.089324276218,395.870195761535,85.2210306689889,514.239090239631,24.1248020612089,2013-06,Transporte Público Pasajeros,2.94
102,3.0,C,METROPOL MUTUOS,0.0127288251728731,3874.0,36.7267204691356,118.884430012485,118.884430012485,119.830898443353,62.3607451476371,241.665308816468,714.129979149916,2013-06,Transporte Público Pasajeros,5.67
103,4.0,C,MUTUAL RIVADAVIA ,0.0576400924581039,6734.0,29.4405123799794,197.597191954213,197.597191954213,184.009812338621,67.8619914842692,297.119582000903,59.4962697682853,2013-06,Transporte Público Pasajeros,25.65
104,5.0,C,PROTECCIÓN MUTUAL ,0.133893450012153,12903.0,48.8467518061369,102.550574043903,105.386135462979,107.717079690356,41.6587559201855,160.133165178277,11.153853620952,2013-06,Transporte Público Pasajeros,59.59
105,1.0,C,ARGOS MUTUAL ,0.012804002,2854.0,3.500547687,265.2493011,269.295314,269.2039467,96.03563759,271.4749207,319.6932965,2013-03,Transporte Público Pasajeros,5.57
106,2.0,C,GARANTÍA MUTUAL ,0.006440861,1012.0,12.40619467,399.6749641,403.0525053,404.3154491,85.64984813,510.8701565,215.1314494,2013-03,Transporte Público Pasajeros,2.8
107,3.0,C,METROPOL MUTUOS,0.012800476,4198.0,38.87043468,117.718333,117.718333,118.7120053,58.7839079,245.5499795,88.40421857,2013-03,Transporte Público Pasajeros,5.57
108,4.0,C,MUTUAL RIVADAVIA ,0.05863785,6525.0,29.79299104,195.2969457,195.2969457,180.0179057,66.11406204,284.0483584,51.74628103,2013-03,Transporte Público Pasajeros,25.51
109,5.0,C,PROTECCIÓN MUTUAL ,0.139136615,12625.0,50.43468407,102.679168,105.7532691,107.7317982,39.47970219,143.5748746,20.00529082,2013-03,Transporte Público Pasajeros,60.54
110,1.0,C,ARGOS MUTUAL ,0.0131667020858174,2787.0,3.33958663336336,282.99640203012,287.418300002081,287.06412997405903,96.0131425963582,259.87683683591,228.5099954431391,2012-12,Transporte Público Pasajeros,5.56
111,2.0,C,GARANTÍA MUTUAL ,0.00660178918158982,1260.0,12.5762545908246,509.928256072596,514.522469617384,517.23616479142,85.4224151930043,503.504106467525,190.650898693127,2012-12,Transporte Público Pasajeros,2.79
112,3.0,C,METROPOL MUTUOS,0.013511914041883,4189.0,40.5821763861843,110.167026151941,110.167026151941,111.183326202968,58.6797992916802,224.449848424598,118.11614425860904,2012-12,Transporte Público Pasajeros,5.71
113,4.0,C,MUTUAL RIVADAVIA ,0.0644101076113568,6514.0,31.4985464419259,184.33827791831,184.33827791831,165.269759492373,64.609784273702,219.731596130029,51.34595855082782,2012-12,Transporte Público Pasajeros,27.22
114,5.0,C,PROTECCIÓN MUTUAL ,0.138976846619615,12552.0,51.0762113234317,102.697282912828,106.045813885412,108.703258109899,37.9132749811651,119.011679523852,31.335201886703445,2012-12,Transporte Público Pasajeros,58.72
115,1.0,C,ARGOS MUTUAL ,0.0137735926563329,2676.0,3.44301931797277,289.472205821953,294.321992287306,294.1740624989,95.911689294409,334.205806344887,58.5010684943211,2012-09,Transporte Público Pasajeros,5.95
116,2.0,C,GARANTÍA MUTUAL ,0.00673617476334343,1254.0,13.0377853821368,484.37226071567,488.990570808237,491.454084338684,84.8833873219165,483.962042362016,142.36192313355,2012-09,Transporte Público Pasajeros,2.91
117,3.0,C,METROPOL MUTUOS,0.0136023774582011,4084.0,38.5238064010044,116.54906984472,116.54906984472,117.530378426263,57.3770786815133,199.751500001415,127.84566866647,2012-09,Transporte Público Pasajeros,5.88
118,4.0,C,MUTUAL RIVADAVIA ,0.0607726948632405,6387.0,35.3388897452695,159.061956909393,159.061956909393,144.716631637387,59.6912600767076,188.832461825128,41.3315786724785,2012-09,Transporte Público Pasajeros,26.27
119,5.0,C,PROTECCIÓN MUTUAL ,0.136446011364297,12310.0,50.3741572352451,103.064790137167,106.560277468172,109.124257125774,39.3605650599982,122.548827619138,23.6172007677287,2012-09,Transporte Público Pasajeros,58.98
120,1.0,C,ARGOS MUTUAL ,0.0143982879243752,2617,4.01658682152525,260.674213169297,265.523999634649,265.420531413997,95.1999170219611,261.282268977833,106.60293243749206,2012-06,Transporte Público Pasajeros,6.47
121,2.0,C,GARANTÍA MUTUAL ,0.00792533964277583,1232,12.3211780626349,460.039850256492,464.68225689684,467.250749439074,85.2361113790642,452.105818385578,182.47915980296833,2012-06,Transporte Público Pasajeros,3.56
122,3.0,C,METROPOL MUTUOS,0.0153291761706603,3967,39.4389486761678,110.108861302406,110.108861302406,111.144002825623,59.7283023850135,358.840713782452,177.11129228153277,2012-06,Transporte Público Pasajeros,6.88
123,4.0,C,MUTUAL RIVADAVIA ,0.0632864333572345,6421,33.0490561151866,154.357187782821,154.357187782821,141.326648898324,62.1233237531234,205.329112319466,36.74286041494556,2012-06,Transporte Público Pasajeros,28.42
124,5.0,C,PROTECCIÓN MUTUAL ,0.121741377236549,12155,47.120008970286,106.066149394814,109.806263405004,113.649660952672,42.8742236604189,162.684107674707,36.88117212550147,2012-06,Transporte Público Pasajeros,54.67
125,1.0,C,ARGOS MUTUAL ,0.0145277678754133,2597,4.22155164009177,241.524049523748,246.591769092173,246.494878581094,94.0615916003271,198.561541577928,269.50462673304685,2012-03,Transporte Público Pasajeros,6.58
126,2.0,C,GARANTÍA MUTUAL ,0.0078837425505539,1235,12.2001422952286,442.180569843194,446.847073031321,449.487968716159,85.2152182343057,0.0,696.0207146133849,2012-03,Transporte Público Pasajeros,3.57
127,3.0,C,METROPOL MUTUOS,0.0154997871933869,3861,40.846397308009,107.679777436169,107.679777436169,108.768648851064,58.2321472895436,639.207886806323,300.6509349713029,2012-03,Transporte Público Pasajeros,7.02
128,4.0,C,MUTUAL RIVADAVIA ,0.0637369230118777,6378,37.0885231671759,137.236441255041,137.236441255041,125.139069594676,47.5226648982014,230.655372987755,32.29858777523658,2012-03,Transporte Público Pasajeros,28.86
129,5.0,C,PROTECCIÓN MUTUAL ,0.119235029706544,12109,44.5643650977874,112.657794431789,116.550918103106,120.416444660594,44.6500626102165,299.476096900359,29.008244225037842,2012-03,Transporte Público Pasajeros,53.98
